latitude,longitude,altitude.ft
28.63811,34.798061,257
28.603468,34.810458,1652
28.575879,34.844785,924
28.620362,34.876969,1815
28.560586,34.990046,1408
28.602789,34.992551,2640
28.488311,34.976893,956
28.572316,34.807835,1312
28.438361,34.786616,595
28.553648,34.903739,2291
28.651337,34.876725,3168
28.584441,35.186706,2307
28.512148,34.957213,1089
28.448275,34.93563,864
28.625897,35.051013,1494
28.612935,35.218209,2284
28.54015,35.065537,1167
29.248557,35.017044,1032
29.235329,34.969706,279
29.291152,34.977884,403
29.336922,34.981922,552
29.319727,35.032035,1245
29.24509,35.185575,2831
